,example-detailed-MR1,example-detailed-MR2,example-detailed-MR3,example-detailed-MR4,example-detailed-MR5,example-detailed-MR6,example-noMR-MR2,example-noIF-MR4,example-noIF-MR6,example-none-MR4,noexample-detailed-MR4,noexample-detailed-MR6,noexample-noIF-MR4,noexample-noIF-MR6
example-detailed-MR1,0.0,0.286,0.286,0.286,0.286,0.286,0.571,0.0,0.0,0.571,0.286,0.286,0.143,0.286
example-detailed-MR2,0.286,0.0,0.0,0.429,0.429,0.429,0.429,0.286,0.286,0.429,0.0,0.0,0.143,0.286
example-detailed-MR3,0.286,0.0,0.0,0.429,0.429,0.429,0.429,0.286,0.286,0.429,0.0,0.0,0.143,0.286
example-detailed-MR4,0.286,0.429,0.429,0.0,0.0,0.0,0.4,0.286,0.286,0.4,0.429,0.429,0.286,0.429
example-detailed-MR5,0.286,0.429,0.429,0.0,0.0,0.0,0.4,0.286,0.286,0.4,0.429,0.429,0.286,0.429
example-detailed-MR6,0.286,0.429,0.429,0.0,0.0,0.0,0.4,0.286,0.286,0.4,0.429,0.429,0.286,0.429
example-noMR-MR2,0.571,0.429,0.429,0.4,0.4,0.4,0.0,0.571,0.571,0.0,0.429,0.429,0.429,0.286
example-noIF-MR4,0.0,0.286,0.286,0.286,0.286,0.286,0.571,0.0,0.0,0.571,0.286,0.286,0.143,0.286
example-noIF-MR6,0.0,0.286,0.286,0.286,0.286,0.286,0.571,0.0,0.0,0.571,0.286,0.286,0.143,0.286
example-none-MR4,0.571,0.429,0.429,0.4,0.4,0.4,0.0,0.571,0.571,0.0,0.429,0.429,0.429,0.286
noexample-detailed-MR4,0.286,0.0,0.0,0.429,0.429,0.429,0.429,0.286,0.286,0.429,0.0,0.0,0.143,0.286
noexample-detailed-MR6,0.286,0.0,0.0,0.429,0.429,0.429,0.429,0.286,0.286,0.429,0.0,0.0,0.143,0.286
noexample-noIF-MR4,0.143,0.143,0.143,0.286,0.286,0.286,0.429,0.143,0.143,0.429,0.143,0.143,0.0,0.429
noexample-noIF-MR6,0.286,0.286,0.286,0.429,0.429,0.429,0.286,0.286,0.286,0.286,0.286,0.286,0.429,0.0
