MR_ID,Tree_Size,Depth,Leaves,Branching_Factor,McCabe_CC,N1_operators,N2_operands,n1_unique_operators,n2_unique_operands,N_length,n_vocabulary,V_volume,D_difficulty,E_effort,Pattern
base-normal-MR1,5,2,2,1.33,1,0,2,0,2,2,2,2.0,0.0,0.0,DEC => INC
base-normal-MR2,7,3,3,1.5,1,1,3,1,3,4,4,8.0,0.5,4.0,DEC AND EQ => INC
base-normal-MR3,7,3,3,1.5,1,1,3,1,3,4,4,8.0,0.5,4.0,DEC AND EQ => INC
base-normal-MR4,5,2,2,1.33,1,0,2,0,1,2,1,0.0,0.0,0.0,DEC => DEC
base-normal-MR5,7,3,3,1.5,1,1,3,1,3,4,4,8.0,0.5,4.0,DEC AND EQ => INC
base-normal-MR6,5,2,2,1.33,1,0,2,0,1,2,1,0.0,0.0,0.0,DEC => DEC
base-normal-MR7,5,2,2,1.33,1,0,2,0,2,2,2,2.0,0.0,0.0,DEC => INC
base-noMR-MR1,5,2,2,1.33,1,0,2,0,1,2,1,0.0,0.0,0.0,DEC => DEC
base-noMR-MR3,5,2,2,1.33,1,0,2,0,1,2,1,0.0,0.0,0.0,DEC => DEC
base-noMR-MR4,5,2,2,1.33,1,0,2,0,1,2,1,0.0,0.0,0.0,DEC => DEC
nobase-normal-MR3,5,2,2,1.33,1,0,2,0,2,2,2,2.0,0.0,0.0,DEC => INC
nobase-normal-MR5,5,2,2,1.33,1,0,2,0,2,2,2,2.0,0.0,0.0,DEC => INC
nobase-noIF-MR3,5,2,2,1.33,1,0,2,0,1,2,1,0.0,0.0,0.0,DEC => DEC
nobase-noIF-MR4,5,2,2,1.33,1,0,2,0,1,2,1,0.0,0.0,0.0,INC => INC
nobase-noIF-MR5,5,2,2,1.33,1,0,2,0,2,2,2,2.0,0.0,0.0,DEC => INC
nobase-noIF-MR6,5,2,2,1.33,1,0,2,0,2,2,2,2.0,0.0,0.0,DEC => INC
